,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量,
0,武汉,2017-01-01,14,5,多云,无持续风向,微风,146,轻度污染
1,武汉,2017-01-02,15,7,多云,无持续风向,微风,171,中度污染
2,武汉,2017-01-03,15,7,多云,无持续风向,微风,206,重度污染
3,武汉,2017-01-04,13,10,小雨~中雨,无持续风向,微风,238,重度污染
4,武汉,2017-01-05,11,8,中雨~小雨,北风,3-4级,51,良
5,武汉,2017-01-06,8,5,中雨~小雨,无持续风向,微风,27,优
6,武汉,2017-01-07,7,2,小雨~多云,无持续风向,微风,38,优
7,武汉,2017-01-08,11,2,多云~晴,无持续风向,微风,79,良
8,武汉,2017-01-09,11,6,多云,东北风,1-2级,140,轻度污染
9,武汉,2017-01-10,8,4,小雨,无持续风向,微风,123,轻度污染
10,武汉,2017-01-11,7,4,小雨,无持续风向,微风,150,轻度污染
11,武汉,2017-01-12,9,-1,多云~晴,无持续风向,微风,129,轻度污染
12,武汉,2017-01-13,11,2,晴~多云,无持续风向,微风,109,轻度污染
13,武汉,2017-01-14,9,1,多云,无持续风向,微风,98,良
14,武汉,2017-01-15,8,-2,晴,无持续风向,微风,71,良
15,武汉,2017-01-16,9,3,多云,东北风,1-2级,95,良
16,武汉,2017-01-17,9,4,多云~小雨,无持续风向,微风,91,良
17,武汉,2017-01-18,7,3,小雨~多云,无持续风向,微风,123,轻度污染
18,武汉,2017-01-19,10,-2,晴,无持续风向,微风,149,轻度污染
19,武汉,2017-01-20,7,-3,晴~多云,无持续风向,微风,98,良
20,武汉,2017-01-21,9,-1,晴,无持续风向,微风,86,良
21,武汉,2017-01-22,12,-1,晴~多云,无持续风向,微风,134,轻度污染
22,武汉,2017-01-23,13,2,晴~多云,无持续风向,微风,119,轻度污染
23,武汉,2017-01-24,11,2,多云~阴,无持续风向,微风,89,良
24,武汉,2017-01-25,13,0,晴,无持续风向,微风,111,轻度污染
25,武汉,2017-01-26,15,3,晴,无持续风向,微风,87,良
26,武汉,2017-01-27,12,4,多云,无持续风向,微风,169,中度污染
27,武汉,2017-01-28,15,6,多云~阴,无持续风向,微风,197,中度污染
28,武汉,2017-01-29,10,0,小雨~多云,无持续风向,4-5级,156,中度污染
29,武汉,2017-01-30,7,1,多云,无持续风向,微风,148,轻度污染
30,武汉,2017-01-31,4,2,小雨,无持续风向,微风,96,良
31,武汉,2017-02-01,6,2,小雨,无持续风向,微风,81,良
32,武汉,2017-02-02,4,3,小雨,无持续风向,微风,88,良
33,武汉,2017-02-03,6,3,小雨,无持续风向,微风,88,良
34,武汉,2017-02-04,11,2,多云~晴,无持续风向,微风,63,良
35,武汉,2017-02-05,13,2,晴~多云,无持续风向,微风,78,良
36,武汉,2017-02-06,12,4,多云~阴,无持续风向,微风,114,轻度污染
37,武汉,2017-02-07,8,0,小雨,无持续风向,3-4级,82,良
38,武汉,2017-02-08,4,-3,雨夹雪~晴,无持续风向,3-4级,61,良
39,武汉,2017-02-09,8,-3,多云~晴,无持续风向,微风,112,轻度污染
40,武汉,2017-02-10,10,-2,阴~多云,无持续风向,微风,89,良
41,武汉,2017-02-11,11,-2,多云~晴,无持续风向,微风,67,良
42,武汉,2017-02-12,14,0,晴,无持续风向,微风,97,良
43,武汉,2017-02-13,16,2,晴~多云,东南风,1-2级,98,良
44,武汉,2017-02-14,16,5,多云,东南风,1-2级,80,良
45,武汉,2017-02-15,18,9,多云~小雨,南风,1-2级,116,轻度污染
46,武汉,2017-02-16,21,9,多云,无持续风向,微风,121,轻度污染
47,武汉,2017-02-17,16,6,多云~小雨,无持续风向,微风,210,重度污染
48,武汉,2017-02-18,15,9,晴~多云,无持续风向,微风,127,轻度污染
49,武汉,2017-02-19,21,9,多云~阵雨,无持续风向,微风,181,中度污染
50,武汉,2017-02-20,15,5,多云~阴,无持续风向,3-4级,141,轻度污染
51,武汉,2017-02-21,6,0,中雨,北风,4-5级,48,优
52,武汉,2017-02-22,6,2,小雨~阴,无持续风向,3-4级,82,良
53,武汉,2017-02-23,9,1,多云,无持续风向,微风,86,良
54,武汉,2017-02-24,12,2,多云,无持续风向,微风,79,良
55,武汉,2017-02-25,14,3,多云,无持续风向,微风,88,良
56,武汉,2017-02-26,17,2,多云,无持续风向,微风,96,良
57,武汉,2017-02-27,18,5,多云,无持续风向,微风,104,轻度污染
58,武汉,2017-02-28,18,6,多云,东南风,1-2级,100,良
59,武汉,2017-03-01,16,0,晴,西北风,4-5级,104,轻度污染
60,武汉,2017-03-02,14,4,晴~多云,东南风,1-2级,81,良
